OTU,Kingdom,Phylum,Class,Order,Family,Genus,Genus_species,Accession
OTU1083,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Pseudoflavonifractor,Bacteroides_capillosus,dq455896.1
OTU1084,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia_extructa,ef509096.1
OTU1086,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_longiquaesitum,dq129488.1
OTU1087,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flectobacillus,Flectobacillus_lacus,
OTU1088,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Boseaceae,Bosea,Bosea_minatitlanensis,af273081.1
OTU1089,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis_benevestitus,
OTU1090,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,Jeotgalicoccus_pinnipedialis,
OTU1091,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_adolescentis,eu763753.1
OTU1092,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_lwoffii,gq080385.1
OTU1093,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium_yuanmingense,ay452144.1
OTU1094,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Anderseniella,Anderseniella_baltica,
OTU1095,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter_daechungensis,
OTU1096,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_melaninogenica,ay323525.1
