File,ID,Sample_event,Sample,Replicate,DWTP,City,Material,Swab,Event,Service,Diameter_in,Age_yr,Month,Source,Primary,Secondary,Disinfectant,Inhibitor,Other,Log_copies_16S
MKE-9-Cu4,MKE_Cu_smth_event9_rep3,MKE_Cu_bio_event9,MKE_Cu_bio,3,MKE,Milwaukee,copper,smooth,9,lateral,1,,February,lake,ozone,chlorine,chloramine,phosphate,"fluoride, alum",5.7299
OC-1-H,OC_Cu_smth_event1_rep2,OC_Cu_bio_event1,OC_Cu_bio,2,OC,Oak Creek,copper,smooth,1,lateral,0.75,55,July,lake,sodium hypochlorite,none,chlorine,none,fluoride,
OC-4-4,OC_dFe_smth_event4_rep2,OC_dFe_bio_event4,OC_dFe_bio,2,OC,Oak Creek,ductile iron,smooth,4,main,18,34,August,lake,sodium hypochlorite,none,chlorine,none,fluoride,
OC-4-5,OC_dFe_smth_event4_rep3,OC_dFe_bio_event4,OC_dFe_bio,3,OC,Oak Creek,ductile iron,smooth,4,main,18,34,August,lake,sodium hypochlorite,none,chlorine,none,fluoride,
OC-6-2,OC_dFe_smth_event6_rep2,OC_dFe_bio_event6,OC_dFe_bio,2,OC,Oak Creek,ductile iron,smooth,6,main,20,39,August,lake,sodium hypochlorite,none,chlorine,none,fluoride,
OC-7-5,OC_Cu_smth_event7_rep2,OC_Cu_bio_event7,OC_Cu_bio,2,OC,Oak Creek,copper,smooth,7,lateral,0.75,,January,lake,sodium hypochlorite,none,chlorine,none,fluoride,
OC-7-6,OC_Cu_smth_event7_rep3,OC_Cu_bio_event7,OC_Cu_bio,3,OC,Oak Creek,copper,smooth,7,lateral,0.75,,January,lake,sodium hypochlorite,none,chlorine,none,fluoride,
WK1-B3,WK_dFe_smth_event1_rep3,WK_dFe_bio_event1,WK_dFe_bio,3,WK,Waukesha,ductile iron,smooth,1,main,16,51,August,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK2-Fe-1,WK_cFe_smth_event2_rep1,WK_cFe_bio_event2,WK_cFe_bio,1,WK,Waukesha,cast iron,smooth,2,lateral,0.75,106,August,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
WK2-Fe-12D,WK_cFe_smth_event2_rep2,WK_cFe_bio_event2,WK_cFe_bio,2,WK,Waukesha,cast iron,smooth,2,lateral,0.75,106,August,aquifer,sodium hypochlorite,none,chlorine,sodium silicate,fluoride,
